variant,seed,step,train_loss,val_loss
MHA,0,0,4.297069072723389,4.16100161075592
MHA,0,250,1.7185570001602173,1.8980897903442382
MHA,0,500,1.4869166612625122,1.7078263401985168
MHA,0,750,1.467061161994934,1.621870654821396
MHA,0,1000,1.398622989654541,1.5529306352138519
MHA,0,1250,1.2900944948196411,1.5063351690769196
MHA,0,1499,1.1924282312393188,1.4951525986194611
MHA,1,0,4.42667293548584,4.280927348136902
MHA,1,250,1.7574591636657715,1.891732966899872
MHA,1,500,1.4980193376541138,1.718494212627411
MHA,1,750,1.421181082725525,1.6257421374320984
MHA,1,1000,1.3675540685653687,1.574865961074829
MHA,1,1250,1.2797166109085083,1.5265787243843079
MHA,1,1499,1.2650707960128784,1.5124731004238128
MHA,2,0,4.296046257019043,4.151284909248352
MHA,2,250,1.849198818206787,1.9034562408924103
MHA,2,500,1.5192785263061523,1.7395278096199036
MHA,2,750,1.3823844194412231,1.6376755952835083
MHA,2,1000,1.3936986923217773,1.5570050120353698
MHA,2,1250,1.3152021169662476,1.5201537489891053
MHA,2,1499,1.265673279762268,1.506331241130829
GQA(g=2),0,0,4.432029724121094,4.291075992584228
GQA(g=2),0,250,1.722256064414978,1.893266898393631
GQA(g=2),0,500,1.4696623086929321,1.6979127824306488
GQA(g=2),0,750,1.4493751525878906,1.6236547768115996
GQA(g=2),0,1000,1.3963346481323242,1.567738264799118
GQA(g=2),0,1250,1.301140308380127,1.5186504125595093
GQA(g=2),0,1499,1.2037432193756104,1.5084296822547913
GQA(g=2),1,0,4.279077529907227,4.1643232822418215
GQA(g=2),1,250,1.7346569299697876,1.8832007765769958
GQA(g=2),1,500,1.499773383140564,1.709396106004715
GQA(g=2),1,750,1.4223389625549316,1.6134325921535493
GQA(g=2),1,1000,1.36003577709198,1.5456295430660247
GQA(g=2),1,1250,1.2797297239303589,1.5110008239746093
GQA(g=2),1,1499,1.2535501718521118,1.4956888437271119
GQA(g=2),2,0,4.389275074005127,4.235224175453186
GQA(g=2),2,250,1.8233613967895508,1.8967539727687837
GQA(g=2),2,500,1.5042754411697388,1.724188005924225
GQA(g=2),2,750,1.377206802368164,1.6247226297855377
GQA(g=2),2,1000,1.3772187232971191,1.5503666281700135
GQA(g=2),2,1250,1.319322109222412,1.5107800662517548
GQA(g=2),2,1499,1.2817364931106567,1.4963781237602234
GQA(g=3),0,0,4.393303394317627,4.238780760765076
GQA(g=3),0,250,1.7220507860183716,1.884689861536026
GQA(g=3),0,500,1.4684510231018066,1.6954111456871033
GQA(g=3),0,750,1.465479850769043,1.6155127704143524
GQA(g=3),0,1000,1.3916091918945312,1.556882417201996
GQA(g=3),0,1250,1.2889647483825684,1.5166467726230621
GQA(g=3),0,1499,1.2041029930114746,1.5047868072986603
GQA(g=3),1,0,4.324804306030273,4.205244493484497
GQA(g=3),1,250,1.7660483121871948,1.9009641587734223
GQA(g=3),1,500,1.479859709739685,1.7288701474666595
GQA(g=3),1,750,1.4176216125488281,1.621367871761322
GQA(g=3),1,1000,1.3597208261489868,1.552966445684433
GQA(g=3),1,1250,1.2825990915298462,1.5171359658241272
GQA(g=3),1,1499,1.2487380504608154,1.4999555408954621
GQA(g=3),2,0,4.422890663146973,4.31075279712677
GQA(g=3),2,250,1.8502064943313599,1.904981219768524
GQA(g=3),2,500,1.513952612876892,1.7281238973140716
GQA(g=3),2,750,1.3559013605117798,1.623702073097229
GQA(g=3),2,1000,1.3995565176010132,1.5518940925598144
GQA(g=3),2,1250,1.304484486579895,1.5123228311538697
GQA(g=3),2,1499,1.275399088859558,1.4993593871593476
MQA,0,0,4.361281394958496,4.233017826080323
MQA,0,250,1.745395541191101,1.8998357474803924
MQA,0,500,1.4798020124435425,1.7052870452404023
MQA,0,750,1.4548226594924927,1.6264083981513977
MQA,0,1000,1.407727837562561,1.5649426996707916
MQA,0,1250,1.2907817363739014,1.5167536973953246
MQA,0,1499,1.2033838033676147,1.5050676822662354
MQA,1,0,4.305653095245361,4.1568030834198
MQA,1,250,1.761997103691101,1.883571046590805
MQA,1,500,1.5109286308288574,1.7135188281536102
MQA,1,750,1.4211875200271606,1.609904795885086
MQA,1,1000,1.3817692995071411,1.5538408517837525
MQA,1,1250,1.277010440826416,1.5153109848499298
MQA,1,1499,1.2683905363082886,1.5006070137023926
MQA,2,0,4.26246976852417,4.137426042556763
MQA,2,250,1.8228601217269897,1.874168187379837
MQA,2,500,1.4714431762695312,1.7152563154697418
MQA,2,750,1.352489948272705,1.6179874956607818
MQA,2,1000,1.3841370344161987,1.550954121351242
MQA,2,1250,1.2978081703186035,1.5121927380561828
MQA,2,1499,1.2538485527038574,1.4997588872909546
MLA(d_c=48),0,0,4.20247220993042,4.103655910491943
MLA(d_c=48),0,250,1.7581108808517456,1.909186065196991
MLA(d_c=48),0,500,1.488883137702942,1.730852907896042
MLA(d_c=48),0,750,1.4605408906936646,1.6387866616249085
MLA(d_c=48),0,1000,1.411042332649231,1.5715914905071258
MLA(d_c=48),0,1250,1.3128703832626343,1.5260028302669526
MLA(d_c=48),0,1499,1.2197281122207642,1.515059584379196
MLA(d_c=48),1,0,4.316712856292725,4.198939323425293
MLA(d_c=48),1,250,1.7880250215530396,1.9268750071525573
MLA(d_c=48),1,500,1.5389666557312012,1.7398984134197235
MLA(d_c=48),1,750,1.4428939819335938,1.6472713589668273
MLA(d_c=48),1,1000,1.3792470693588257,1.5676274240016936
MLA(d_c=48),1,1250,1.298686146736145,1.5275291323661804
MLA(d_c=48),1,1499,1.2722986936569214,1.5091658353805542
MLA(d_c=48),2,0,4.325621128082275,4.192530107498169
MLA(d_c=48),2,250,1.9010120630264282,1.9508509933948517
MLA(d_c=48),2,500,1.525282382965088,1.7591201722621919
MLA(d_c=48),2,750,1.3792022466659546,1.6492699325084685
MLA(d_c=48),2,1000,1.4144660234451294,1.5600793719291688
MLA(d_c=48),2,1250,1.3293949365615845,1.5134341418743134
MLA(d_c=48),2,1499,1.2775447368621826,1.5000451147556304
MLA(d_c=96),0,0,4.4159674644470215,4.300150370597839
MLA(d_c=96),0,250,1.761151671409607,1.9343951344490051
MLA(d_c=96),0,500,1.5187641382217407,1.7351761519908906
MLA(d_c=96),0,750,1.491714596748352,1.63956179022789
MLA(d_c=96),0,1000,1.4186800718307495,1.5795182049274445
MLA(d_c=96),0,1250,1.3311443328857422,1.5305115163326264
MLA(d_c=96),0,1499,1.2348347902297974,1.516296935081482
MLA(d_c=96),1,0,4.401468276977539,4.277950763702393
MLA(d_c=96),1,250,1.771302342414856,1.9066841423511505
MLA(d_c=96),1,500,1.5226387977600098,1.7473092138767243
MLA(d_c=96),1,750,1.4275819063186646,1.64453067779541
MLA(d_c=96),1,1000,1.374757170677185,1.5590984344482421
MLA(d_c=96),1,1250,1.288148045539856,1.5122325420379639
MLA(d_c=96),1,1499,1.2640761137008667,1.497325497865677
MLA(d_c=96),2,0,4.431005477905273,4.3186970233917235
MLA(d_c=96),2,250,1.8849791288375854,1.9405150532722473
MLA(d_c=96),2,500,1.5272455215454102,1.7693062245845794
MLA(d_c=96),2,750,1.4060269594192505,1.661396509408951
MLA(d_c=96),2,1000,1.4188913106918335,1.573539662361145
MLA(d_c=96),2,1250,1.3408664464950562,1.5311319828033447
MLA(d_c=96),2,1499,1.295188069343567,1.5163186252117158
