variant,seed,params,cache_per_token,val_loss,val_ppl,wall_s
MHA,0,1801728,1536,1.5049413114786148,4.5038892959286025,107.93466816699947
MHA,1,1801728,1536,1.5209760636091232,4.5766901564565,107.90133866701217
MHA,2,1801728,1536,1.5186039358377457,4.565846528955097,107.86314783299167
GQA(g=2),0,1654272,768,1.5164688408374787,4.556108412460431,105.07309020799585
GQA(g=2),1,1654272,768,1.5041232109069824,4.5002061683108625,101.13677650000318
GQA(g=2),2,1654272,768,1.5040155708789826,4.4997217920625046,100.04702849999012
GQA(g=3),0,1605120,512,1.516546481847763,4.556462167053294,99.2220562910079
GQA(g=3),1,1605120,512,1.508858135342598,4.521564830383774,97.5759972500091
GQA(g=3),2,1605120,512,1.5090711951255797,4.522528296639584,97.59773191700515
MQA,0,1555968,256,1.5145633310079574,4.547434969386057,96.06724512499932
MQA,1,1555968,256,1.5087917119264602,4.521264502575962,95.66232487499656
MQA,2,1555968,256,1.5124622851610183,4.537890630087664,95.82279179200123
MLA(d_c=48),0,1703424,256,1.526061949133873,4.600025970011897,112.27411700000812
MLA(d_c=48),1,1703424,256,1.5179580330848694,4.562898388321405,112.2455477080075
MLA(d_c=48),2,1703424,256,1.5085289508104325,4.520076646137484,112.4851164159918
MLA(d_c=96),0,1814016,448,1.5220252215862273,4.581494347179714,114.10747179199825
MLA(d_c=96),1,1814016,448,1.5071994990110398,4.514071414824163,113.91704112500884
MLA(d_c=96),2,1814016,448,1.524091961979866,4.590972898088373,114.26296937500592
